date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:50	5688/5688	---M-Z	200	added ('OK')	application/javascript	etag:%221638-5e8c94112b9c6-gzip%22	https://shreethemes.in/doctris/layouts/assets/js/plugins.init.js	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/js/plugins.init.js	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:50	8253/8253	---M-Z	200	added ('OK')	application/javascript	etag:%22203d-5e8c941129a86-gzip%22	https://shreethemes.in/doctris/layouts/assets/js/app.js	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/js/app.js	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:51	403228/403228	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226271c-5e8c941156949%22	https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.eot?t=1590207869815	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicondf6d.eot	(from https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.css)
22:45:51	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%221e954-5e8c94115a7c9%22	https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.woff2?t=1590207869815	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicondf6d.woff2	(from https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.css)
22:45:51	172876/172876	---M--	200	added ('OK')	font/woff	etag:%222a34c-5e8c94115a7c9%22	https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.woff?t=1590207869815	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicondf6d.woff	(from https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.css)
22:45:52	403056/403056	---M--	200	added ('OK')	font/ttf	etag:%2262670-5e8c94115a7c9%22	https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.ttf?t=1590207869815	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicondf6d.ttf	(from https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.css)
22:45:52	255795/255795	---M-Z	200	added ('OK')	text/css	etag:%223e733-5e8c94111fe45-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/bootstrap-dark.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/bootstrap-dark.min.css	(from https://shreethemes.in/doctris/layouts/admin/index-dark.html)
22:45:52	54183/54183	---M-Z	200	added ('OK')	text/css	etag:%22d3a7-5e8c941122d25-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/style-dark.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/style-dark.min.css	(from https://shreethemes.in/doctris/layouts/admin/index-dark.html)
22:45:53	1195522/1195522	---M--	200	added ('OK')	image/svg+xml	etag:%22123e02-5e8c941158889%22	https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.svg?t=1590207869815	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicondf6d.svg	(from https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.css)
22:45:53	255806/255806	---M-Z	200	added ('OK')	text/css	etag:%223e73e-5e8c94111fe45-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/bootstrap-rtl.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/bootstrap-rtl.min.css	(from https://shreethemes.in/doctris/layouts/admin/index-rtl.html)
