date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:06	58870/58870	---M-Z	200	added ('OK')	text/html	etag:%22e5f6-5e8c94116ff8a-gzip%22	https://shreethemes.in/doctris/layouts/landing/doctor-team-two.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/doctor-team-two.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:06	63640/63640	---M-Z	200	added ('OK')	text/html	etag:%22f898-5e8c94116ff8a-gzip%22	https://shreethemes.in/doctris/layouts/landing/doctor-team-three.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/doctor-team-three.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:06	77327/77327	---M-Z	200	added ('OK')	text/html	etag:%2212e0f-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/patient-dashboard.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/patient-dashboard.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:06	67379/67379	---M-Z	200	added ('OK')	text/html	etag:%2210733-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/patient-profile.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/patient-profile.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:06	43199/43199	---M-Z	200	added ('OK')	text/html	etag:%22a8bf-5e8c94116efea-gzip%22	https://shreethemes.in/doctris/layouts/landing/booking-appointment.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/booking-appointment.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:07	37091/37091	---M-Z	200	added ('OK')	text/html	etag:%2290e3-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/patient-invoice.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/patient-invoice.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:07	57305/57305	---M-Z	200	added ('OK')	text/html	etag:%22dfd9-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/pharmacy.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/pharmacy.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:09	85660/85660	---M-Z	200	added ('OK')	text/html	etag:%2214e9c-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/pharmacy-shop.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/pharmacy-shop.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:09	57532/57532	---M-Z	200	added ('OK')	text/html	etag:%22e0bc-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/pharmacy-product-detail.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/pharmacy-product-detail.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:09	42448/42448	---M-Z	200	added ('OK')	text/html	etag:%22a5d0-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/pharmacy-checkout.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/pharmacy-checkout.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:09	38532/38532	---M-Z	200	added ('OK')	text/html	etag:%229684-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/pharmacy-shop-cart.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/pharmacy-shop-cart.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:10	45653/45653	---M-Z	200	added ('OK')	text/html	etag:%22b255-5e8c941170f2a-gzip%22	https://shreethemes.in/doctris/layouts/landing/pharmacy-account.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/pharmacy-account.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:10	38815/38815	---M-Z	200	added ('OK')	text/html	etag:%22979f-5e8c94116efea-gzip%22	https://shreethemes.in/doctris/layouts/landing/departments.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/departments.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:10	46147/46147	---M-Z	200	added ('OK')	text/html	etag:%22b443-5e8c94116efea-gzip%22	https://shreethemes.in/doctris/layouts/landing/aboutus.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/aboutus.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:10	45477/45477	---M-Z	200	added ('OK')	text/html	etag:%22b1a5-5e8c94116efea-gzip%22	https://shreethemes.in/doctris/layouts/landing/blogs.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/blogs.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:10	40610/40610	---M-Z	200	added ('OK')	text/html	etag:%229ea2-5e8c94116ff8a-gzip%22	https://shreethemes.in/doctris/layouts/landing/faqs.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/faqs.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:11	54456/54456	---M-Z	200	added ('OK')	text/html	etag:%22d4b8-5e8c94116efea-gzip%22	https://shreethemes.in/doctris/layouts/landing/blog-detail.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/blog-detail.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
00:20:11	37642/37642	---M-Z	200	added ('OK')	text/html	etag:%22930a-5e8c941171eca-gzip%22	https://shreethemes.in/doctris/layouts/landing/terms.html	F:/LARAVEL%20PROJECT/Template/MEDICAL%20WEBSITE/Doctris%20Medical%20Website/shreethemes.in/doctris/layouts/landing/terms.html	(from https://shreethemes.in/doctris/layouts/landing/index.html)
